variavel	nome	descricao	tipo	formato	fonte	valores	nulos	observacao
regiao_administrativa	Região administrativa	Região administrativa onde ocorreu o sinistro	string	Texto predefinido	DETRAN-SP	METROPOLITANA DE SÃO PAULO|CAMPINAS|SOROCABA|SÃO JOSÉ DOS CAMPOS|SÃO JOSÉ DO RIO PRETO|BAIXADA SANTISTA|RIBEIRÃO PRETO|CENTRAL|BAURU|MARÍLIA|PRESIDENTE PRUDENTE|ARAÇATUBA|FRANCA|ITAPEVA|REGISTRO|BARRETOS	não	Divisão territorial de acordo com a legislação do estado de São Paulo, que pode ser consultada em http://produtos.seade.gov.br/produtos/divpolitica/
administracao	Órgão responsável pela administração da via	Órgão responsável pela administração da via	string	Texto predefinido	DETRAN-SP	NAO DISPONIVEL|PREFEITURA|CONCESSIONÁRIA|DER|ARTESP|DNIT	sim	Para sinistros que ocorreram em rodovias, a administração é identificada a partir da base viária do Departamento de Estradas de Rodagem, por meio da comparação do logradouro do sinistro com o código da rodovia. Para sinistros que ocorreram em vias municipais, a administração é marcada como competente à prefeitura.
conservacao	Órgão responsável pela conservação da via	Órgão responsável pela conservação da via	string	Texto livre ou número sem formato definido	DETRAN-SP	Regional DER (Rodovia Estadual)|DNIT (Rodovia Federal)|Concessionária da Rodovia (Estadual e Federal)|Prefeitura (Municipal)|NAO DISPONIVEL	sim	Para sinistros que ocorreram em rodovias, a conservação é identificada a partir da base viária do Departamento de Estradas de Rodagem, por meio da comparação do logradouro do sinistro com o código da rodovia. Para sinistros que ocorreram em vias municipais, a conservação é marcada como competente à prefeitura.
circunscricao	Órgão que possui a circunscrição da via	Órgão que possui a circunscrição da via	string	Texto predefinido	DETRAN-SP	NAO DISPONIVEL|MUNICIPAL|ESTADUAL|FEDERAL	sim	Para sinistros que ocorreram em rodovias, a circunscrição é identificada a partir da base viária do Departamento de Estradas de Rodagem, por meio da comparação do logradouro do sinistro com o código da rodovia. Para sinistros que ocorreram em vias municipais, a circunscrição é marcada como municipal.
tp_sinistro_primario	Classificação do sinistro	Classificação principal do tipo de sinistro	string	Texto predefinido	DETRAN-SP	ATROPELAMENTO|COLISAO|CHOQUE|OUTROS|NAO DISPONIVEL	não	
qtd_pedestre	Pedestres	Quantidade de pedestres envolvidos no sinistro	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
qtd_bicicleta	Bicicletas	Quantidade de bicicletas envolvidas no sinistro	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
qtd_motocicleta	Motocicletas	Quantidade de motocicletas envolvidas no sinistro	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
qtd_automovel	Automóveis	Quantidade de automóveis envolvidos no sinistro	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
qtd_onibus	Ônibus	Quantidade de ônibus envolvidos no sinistro	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
qtd_caminhao	Caminhões	Quantidade de caminhões envolvidos no sinistro	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
qtd_veic_outros	Outros tipos de veículos	Quantidade de veículos de outros tipos não especificados, envolvidos no sinistro	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
qtd_veic_nao_disponivel	Veículos não disponíveis	Quantidade de veículos não classificados ou com tipo não informado envolvidos no sinistro	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
qtd_gravidade_fatal	Pessoas com lesão fatal	Quantidade de pessoas envolvidas no sinistro com tipo de lesão classificada como fatal	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	Considera morte no local ou até 30 dias após a ocorrência. Para os casos em que a vítima falece após a ocorrência, esse campo é atualizado com base no boletim de ocorrência da Polícia Civil.
qtd_gravidade_grave	Pessoas com lesão grave	Quantidade de pessoas envolvidas no sinistro com tipo de lesão classificada como grave	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
qtd_gravidade_leve	Pessoas com lesão leve	Quantidade de pessoas envolvidas no sinistro com tipo de lesão classificada como leve	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
qtd_gravidade_ileso	Pessoas ilesas	Quantidade de pessoas envolvidas no sinistro com tipo de lesão classificada como ileso	-	-	DETRAN-SP	vazio	sim	Os valores dessa variável estão vazios porque não há divulgação de dados sobre sinistros com vítimas ilesas. Nesses casos, geralmente não é registrado boletim de ocorrência, gerando subnotificação.
qtd_gravidade_nao_disponivel	Pessoas com lesão não disponível	Quantidade de pessoas envolvidas no sinistro com tipo de lesão não informado	int64	Número inteiro	DETRAN-SP	Inteiros maior ou igual a 0	sim	
tp_sinistro_atropelamento	Classificação secundária do sinistro: atropelamento	Classificação secundária do tipo de sinistro. Indica se ocorreu atropelamento (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_colisao_frontal	Classificação secundária do sinistro: colisão frontal	Classificação secundária do tipo de sinistro. Indica se ocorreu colisão frontal (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_colisao_traseira	Classificação secundária do sinistro: colisão traseira	Classificação secundária do tipo de sinistro. Indica se ocorreu colisão traseira (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_colisao_lateral	Classificação secundária do sinistro: colisão lateral	Classificação secundária do tipo de sinistro. Indica se ocorreu colisão lateral (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_colisao_transversal	Classificação secundária do sinistro: colisão transversal	Classificação secundária do tipo de sinistro. Indica se ocorreu colisão transversal (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_colisao_outros	Classificação secundária do sinistro: outro tipo de colisão	Classificação secundária do tipo de sinistro. Indica se ocorreu outro tipo de colisão (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_choque	Classificação secundária do sinistro: choque	Classificação secundária do tipo de sinistro. Indica se ocorreu choque (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_capotamento	Classificação secundária do sinistro: capotamento	Classificação secundária do tipo de sinistro. Indica se ocorreu capotamento (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_engavetamento	Classificação secundária do sinistro: engavetamento	Classificação secundária do tipo de sinistro. Indica se ocorreu engavetamento (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_tombamento	Classificação secundária do sinistro: tombamento	Classificação secundária do tipo de sinistro. Indica se ocorreu tombamento (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_outros	Classificação secundária do sinistro: outro tipo de sinistro	Classificação secundária do tipo de sinistro. Indica se ocorreu outro tipo de sinistro (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
tp_sinistro_nao_disponivel	Classificação secundária do sinistro: não disponível	Classificação secundária do tipo de sinistro. Indica se ocorreu algum outro tipo de sinistro não disponível (S = sim, vazio = não)	string	Texto predefinido	DETRAN-SP	S|vazio	sim	
